title,movie_count,years
The Great Gatsby,4,"[1926.0, 1949.0, 1974.0, 2013.0]"
The Haunted Castle,4,"[1896.0, 1897.0, 1921.0, 1969.0]"
Stella,4,"[1950.0, 1955.0, 1990.0, 2008.0]"
The Boys,4,"[1962.0, 1997.0, 1998.0]"
Breaking Point,4,"[1975.0, 1976.0, 1994.0, 2009.0]"
The Child,4,"[1977.0, 2000.0, 2005.0, 2012.0]"
Brothers,4,"[2004.0, 2009.0, 2011.0, 2015.0]"
Sleeping Beauty,4,"[1959.0, 1987.0, 2011.0, 2014.0]"
Caught,4,"[1949.0, 1987.0, 1996.0, 2015.0]"
Carrie,4,"[1952.0, 1976.0, 2002.0, 2013.0]"
The Hunchback of Notre Dame,4,"[1923.0, 1939.0, 1956.0, 1996.0]"
The Goddess,4,"[1934.0, 1958.0, 1960.0, 2004.0]"
Carmen,4,"[1915.0, 1918.0, 1983.0, 1984.0]"
Sense and Sensibility,4,"[1971.0, 1981.0, 1995.0, 2008.0]"
Cargo,4,"[2005.0, 2009.0, 2011.0, 2013.0]"
The Black Hole,4,"[1979.0, 2006.0, 2008.0, 2015.0]"
Beyond,4,"[2003.0, 2010.0, 2012.0, 2014.0]"
The Intruder,4,"[1962.0, 1999.0, 2005.0, 2010.0]"
The Inheritance,4,"[1962.0, 1976.0, 2003.0, 2011.0]"
The Four Feathers,4,"[1929.0, 1939.0, 1978.0, 2002.0]"
The Gambler,4,"[1974.0, 1997.0, 2013.0, 2014.0]"
Breathless,4,"[1960.0, 1983.0, 2008.0, 2012.0]"
Black Magic,4,"[1944.0, 1949.0, 1975.0, 1977.0]"
Blackbird,4,"[1959.0, 2007.0, 2012.0, 2014.0]"
Borderline,4,"[1930.0, 1950.0, 1980.0, 2002.0]"
Blind,4,"[1987.0, 2007.0, 2011.0, 2014.0]"
The Girl,4,"[2001.0, 2009.0, 2012.0]"
The Collector,4,"[1965.0, 1997.0, 2005.0, 2009.0]"
The Box,4,"[2003.0, 2004.0, 2007.0, 2009.0]"
The Body,4,"[1974.0, 2001.0, 2003.0, 2012.0]"
The Bodyguard,4,"[1973.0, 1979.0, 1992.0, 2016.0]"
The Debt,4,"[1999.0, 2007.0, 2010.0, 2015.0]"
The Damned,4,"[1947.0, 1963.0, 1969.0, 2013.0]"
The Challenge,4,"[1970.0, 1982.0, 2003.0, 2005.0]"
Boy Meets Girl,4,"[1938.0, 1984.0, 1994.0, 2015.0]"
The Count of Monte Cristo,4,"[1934.0, 1954.0, 1998.0, 2002.0]"
The Diary of Anne Frank,4,"[1959.0, 1980.0, 1995.0, 2009.0]"
The Dinner,4,"[1998.0, 2013.0, 2014.0, 2017.0]"
Blue,4,"[1968.0, 1993.0, 2002.0, 2003.0]"
The Double,4,"[1971.0, 2011.0, 2012.0, 2014.0]"
Five,4,"[1951.0, 2003.0, 2011.0, 2016.0]"
Faust,4,"[1926.0, 1960.0, 1994.0, 2011.0]"
Fear,4,"[1954.0, 1990.0, 1996.0, 2009.0]"
"20,000 Leagues Under the Sea",4,"[1916.0, 1954.0, 1997.0]"
Fallen,4,"[1998.0, 2005.0, 2006.0, 2016.0]"
Forbidden,4,"[1932.0, 1949.0, 1953.0, 1954.0]"
War and Peace,4,"[1956.0, 1966.0, 2002.0, 2007.0]"
Underground,3,"[1928.0, 1976.0, 1995.0]"
Wanted,3,"[1967.0, 2008.0, 2009.0]"
War,3,"[2002.0, 2007.0, 2014.0]"
War of the Buttons,3,"[1994.0, 2011.0]"
Victim,3,"[1961.0, 2010.0, 2011.0]"
Volcano,3,"[1997.0, 2011.0, 2015.0]"
Undertow,3,"[1949.0, 2004.0, 2009.0]"
Underworld,3,"[1927.0, 1996.0, 2003.0]"
Twisted,3,"[1996.0, 2004.0, 2013.0]"
For Love or Money,3,"[1963.0, 1993.0, 2014.0]"
Fanny,3,"[1932.0, 1961.0, 2013.0]"
Fair Game,3,"[1986.0, 1995.0, 2010.0]"
Fade to Black,3,"[1980.0, 2004.0, 2006.0]"
Face,3,"[1997.0, 2002.0, 2009.0]"
Everybody's Fine,3,"[1990.0, 2009.0, 2016.0]"
Evidence,3,"[1995.0, 2011.0, 2013.0]"
The Victim,3,"[1980.0, 2006.0, 2011.0]"
The Visit,3,"[1964.0, 2000.0, 2015.0]"
The Visitor,3,"[1979.0, 2007.0, 2008.0]"
The Visitors,3,"[1972.0, 1988.0, 1993.0]"
The Void,3,"[2001.0, 2016.0]"
Gemini,3,"[1999.0, 2005.0, 2017.0]"
Genius,3,"[1991.0, 1999.0, 2016.0]"
Framed,3,"[1947.0, 1975.0, 1988.0]"
Freaky Friday,3,"[1976.0, 1995.0, 2003.0]"
Frozen,3,"[2007.0, 2010.0, 2013.0]"
Extraterrestrial,3,"[2007.0, 2011.0, 2014.0]"
Exit,3,"[2000.0, 2006.0, 2011.0]"
Exposed,3,"[1971.0, 1983.0, 2016.0]"
Godzilla,3,"[1954.0, 1998.0, 2014.0]"
Bigfoot,3,"[1970.0, 2008.0, 2012.0]"
Black Angel,3,"[1946.0, 1980.0, 2002.0]"
