release_year,movie_count,mean_user_rating,mean_unique_users,mean_popularity,mean_vote_average
1970.0,351,3.65452380952381,7.023809523809524,1.5882454985754983,5.637321937321937
1971.0,377,3.642777777777778,11.833333333333334,1.8048451326259947,5.63236074270557
1972.0,381,3.562857142857143,9.244897959183673,1.799210002624672,5.637795275590551
1973.0,356,3.6919999999999997,10.44,2.0987118089887637,5.759831460674158
1974.0,348,3.4923728813559323,9.23728813559322,1.7992260028735632,5.596264367816092
1975.0,332,3.3436000000000003,14.26,1.9225224036144577,5.317771084337349
1976.0,333,3.5015686274509803,9.470588235294118,1.9084060660660662,5.558558558558558
1977.0,334,3.5559999999999996,11.836363636363636,2.051067952095808,5.799401197604791
1978.0,321,3.4801587301587302,9.53968253968254,2.1695423457943925,5.468224299065421
1979.0,338,3.394246575342466,12.164383561643836,2.1624847662721893,5.571301775147929
1980.0,360,3.224639175257732,11.43298969072165,2.4259343194444445,5.585555555555556
1981.0,359,3.4293877551020406,10.071428571428571,2.485805660167131,5.68050139275766
1982.0,368,3.395631067961165,12.145631067961165,2.7268001902173915,5.744021739130435
1983.0,352,3.1823456790123457,12.283950617283951,2.67570228125,5.728409090909091
1984.0,362,3.4135000000000004,15.89,2.9432698563535915,5.651933701657459
1985.0,368,3.3225409836065576,11.844262295081966,3.3826173967391306,5.727173913043478
1986.0,391,3.3407352941176467,12.889705882352942,3.16822058056266,5.461636828644501
1987.0,462,3.229591836734694,11.10204081632653,2.807867140692641,5.537229437229437
1988.0,467,3.2377439024390244,10.914634146341463,3.2086013790149894,5.589721627408994
1989.0,439,3.206689655172414,14.193103448275862,3.030898792710706,5.609111617312073
1990.0,426,3.2007801418439716,15.02836879432624,3.169742129107981,5.433098591549296
1991.0,426,3.2263503649635035,14.175182481751825,3.2962056220657274,5.526056338028169
1992.0,453,3.3304137931034483,15.958620689655172,3.306292631346578,5.596247240618101
1993.0,489,3.273160621761658,21.6580310880829,3.612798883435583,5.596932515337423
1994.0,544,3.2775416666666666,24.629166666666666,3.7079640790441175,5.516911764705882
1995.0,598,3.328421052631579,24.665413533834588,3.2721753846153847,5.65133779264214
1996.0,633,3.2592222222222222,18.79259259259259,3.2477228720379148,5.441232227488152
1997.0,661,3.151297709923664,15.461832061068701,3.070927269288956,5.510136157337367
1998.0,722,3.2938235294117644,14.724264705882353,3.0832566412742386,5.539889196675901
1999.0,723,3.2038345864661655,19.06015037593985,3.1697630677731676,5.612171507607192
2000.0,788,3.175477941176471,14.852941176470589,2.963408187817259,5.4524111675126905
2001.0,863,3.1315209125475287,12.96958174904943,3.1240713371958284,5.5064889918887605
2002.0,903,3.1777985074626867,11.380597014925373,3.138094642303433,5.565448504983389
2003.0,882,3.169071729957806,10.632911392405063,3.301704707482993,5.635374149659864
